View and Edit Cart,Se og endre handlekurv
Gå til produkt &amp; Vælg variant,Gå til produkt & Velg variant
"Go to product","Se mer"
Choose variant,Velg Variant
Flere varianter, Flere varianter
From, Fra
As low as,Fra
Apptrian Extensions,Apptrian Extensions
Info,Info
About,About
General,General
Enabled,Enabled
Enables or disables extension.,Enables or disables extension.
freeShippingTreshold,650
Choose variant,Velg variant
Free delivery,Gratis levering
for purchase over A,för köp över 650kr
for purchase over B,för köp över 750kr
100% Secure e-commerce,100% säker e-handel
Approved by the E-market,Godkänd av E-marknaden
Therefore choose this item:,Derfor skal du velge denne varen:
USD,$
DKK,kr
SEK,kr
NOTE: SKU ,OBS! Varenummer 
 is out of stock and is expected to be back on ," er utsolgt, og kommer tilbake på lager igjen "
". If you order now, your order will be processed now and shipped immediately when back on stock.",". Bestiller du nå, kommer din bestilling til å bli sendt med en gang varen er ankommet lageret."
Print product page,Skriv ut produktblad
Send link via mail,Skicka länk via mail
Choose an option...,Velg variant...
Choose an Option...,Velg variant...
See Details,Se detaljer
Recently added item(s),Nylig lagt til produkter
Toggle Nav,Meny
Measurements & Dimensions,Mål og Dimensjoner
", can we ask a few quick questions?",", kan vi stille noen raske spørsmål?"
Bedøm din samlede købsoplevelse på hjemmesiden på en skala fra 1 til 10?,Vennligst vurder din totale kjøpsopplevelse på nettsiden på en skala fra 1 til 10.
Kontaktede du vores kundeservice forud for dit køb?,Kontaktet du vår kundeservice før ditt kjøp?
"Ja, per telefon","Ja, via telefon."
"Ja, per mail","Ja, via e-post."
"Ja, i showroom","Ja, jeg utstillingslokale"
Nej,Nei
Hvad var vigtigt for at du handlede hos os?,Hva var viktig for at du handlet hos oss?
Pris,Pris
Leveringstid,Leveringstid
Sortiment,Utvalg
Nemt at anvende shoppen,Enkelhet i å bruke nettbutikken
Tryghed ved at handle hos en specialist,Trygghet ved å handle med en spesialist
"Hvor stor er din erfaring med at arbejde med stiger, stilladser o.lign. produkter?","Hvor mye erfaring har du med å jobbe med stiger, stillaser eller lignende produkter?"
Har du forslag til forbedring af hjemmesiden?,Har du forslag til forbedring av nettsiden?
Begynder (Lidt eller ingen erfaring),Nybegynner (Litt eller ingen erfaring)
"Mellem (Lidt erfaring, men ikke ekspert)","Erfaren (Noe erfaring, men ikke ekspert)"
Ekspert (Hyppig brug og komfortabel i brugen),Ekspert (Hyppig bruk og komfortabel med bruken)
"Forud for dit køb, kendte du et eller flere af disse mærker?","Før ditt kjøp, var du kjent med noen av disse merkene?"
Silkeborg Stigefabrik,Silkeborg Stigefabrikk
Zarges,Zarges
Dolle,Dolle
Hvordan kan vi forbedre vores service?,Hvordan kan vi forbedre vår tjeneste?
"Er der andet feedback, du gerne vil give os?",Har du annen tilbakemelding du ønsker å dele med oss?
Thank you!,Takk!
for answering our questions,for å svare på spørsmålene våre
Hvilken branche beskriver bedst din virksomhed,Hvilken bransje beskriver best din virksomhet?
Andet,Annet
Medicinal,Medisinsk
Transport,Transport
Fødevarer,Matvarer
Byggeri,Bygg
Har du styr på det lovligpligtige årlige stigeftersyn?,Har du kontroll på den lovpålagte årlige stigeinspeksjonen?
"Lovpligtigt? Nej, det kender jeg ikke til.","Er det pålagt ved lov? Nei, jeg er ikke kjent med det."
Ja da! Det er fuldt dokumenteret.,Selvfølgelig! Det er fullstendig dokumentert.
Submit a reply,Send inn svar
Thank you!,Takk!
for answering our questions,
"Show Results","Vis resultater"